Year,Population,"Yearly %
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"
Global Rank",Country,year2
2005,69762347,1.23,827788,-9689,24.1,1.92,43,6.82,47575374,1.07,6541907027,17,Iran,55
2000,65623405,1.33,836148,-43670,21.2,2.4,40,6.45,42352090,1.07,6143493823,17,Iran,50
1995,61442664,1.74,1015289,-179685,18.6,3.7,38,5.94,36488609,1.07,5744212979,16,Iran,45
1990,56366217,3.55,1803806,299446,17.2,5.62,35,5.62,31672465,1.06,5327231061,19,Iran,40
1985,47347186,4.14,1739388,401534,17.2,6.53,29,5.34,25278712,0.97,4870921740,22,Iran,35
1980,38650246,3.38,1184095,80664,18.0,6.28,24,4.97,19215536,0.87,4458003514,22,Iran,30
1975,32729772,2.8,843181,15527,18.1,6.24,20,4.57,14973153,0.8,4079480606,25,Iran,25
1970,28513866,2.7,711799,10351,17.7,6.68,18,4.12,11751335,0.77,3700437046,25,Iran,20
1965,24954873,2.64,609592,-1568,18.0,6.91,15,3.71,9250486,0.75,3339583597,27,Iran,15
1960,21906914,2.57,522557,-389,19.6,6.91,13,3.37,7390258,0.72,3034949748,26,Iran,10
1955,19294127,2.42,434972,-218,20.9,6.91,12,3.06,5895032,0.7,2773019936,27,Iran,5
2020,83783942,0.32,266897,543822,45.7,1.59,240,7.63,63930305,1.07,7794798739,19,Germany,70
2019,83517045,0.47,392627,543822,45.9,1.46,240,7.64,63787507,1.08,7713468100,17,Germany,69
2018,83124418,0.56,466009,543822,45.9,1.46,238,7.65,63622346,1.09,7631091040,17,Germany,68
2017,82658409,0.57,464641,543822,45.9,1.46,237,7.68,63442124,1.1,7547858925,16,Germany,67
2016,82193768,0.5,406357,543822,45.9,1.46,236,7.7,63257479,1.1,7464022049,16,Germany,66
2015,81787411,0.24,192082,387715,45.9,1.43,235,7.71,63078413,1.11,7379797139,16,Germany,65
2010,80827002,-0.19,-155148,8617,44.3,1.36,232,7.7,62261612,1.16,6956823603,16,Germany,60
2005,81602741,0.05,40372,164889,42.1,1.35,234,7.6,62053609,1.25,6541907027,14,Germany,55
2000,81400882,0.06,52445,143189,40.1,1.35,234,7.5,61087413,1.32,6143493823,12,Germany,50
1995,81138659,0.52,416935,525692,38.4,1.3,233,7.4,60054511,1.41,5744212979,12,Germany,45
1990,79053984,0.35,272478,336747,37.6,1.43,227,7.32,57849875,1.48,5327231061,12,Germany,40
1985,77691595,-0.15,-118301,5,37.2,1.46,223,7.27,56509433,1.6,4870921740,11,Germany,35
1980,78283100,-0.15,-114588,45779,36.5,1.51,225,7.29,57036935,1.76,4458003514,9,Germany,30
1975,78856039,0.07,55531,140346,35.4,1.71,226,7.26,57225423,1.93,4079480606,8,Germany,25
1970,78578385,0.6,464071,174253,34.2,2.36,225,7.23,56788207,2.12,3700437046,8,Germany,20
1965,76258032,0.76,568759,133863,34.3,2.47,219,7.2,54869782,2.28,3339583597,7,Germany,15
1960,73414239,0.52,375356,7966,34.7,2.27,211,7.14,52406122,2.42,3034949748,7,Germany,10
1955,71537459,0.45,314243,-8400,34.5,2.13,205,6.97,49855283,2.58,2773019936,7,Germany,5
2020,69799978,0.25,174396,19444,40.1,1.53,137,5.11,35698325,0.9,7794798739,20,Thailand,70
2019,69625582,0.28,197129,19444,38.3,1.53,136,5.05,35132892,0.9,7713468100,20,Thailand,69
2018,69428453,0.32,218643,19444,38.3,1.53,136,4.98,34556078,0.91,7631091040,20,Thailand,68
2017,69209810,0.35,238502,19444,38.3,1.53,135,4.91,33966456,0.92,7547858925,20,Thailand,67
2016,68971308,0.37,256797,19444,38.3,1.53,135,4.84,33362840,0.92,7464022049,20,Thailand,66
2015,68714511,0.45,303897,33463,37.9,1.53,134,4.77,32745680,0.93,7379797139,20,Thailand,65
2010,67195028,0.54,355768,11802,35.5,1.56,132,4.39,29475114,0.97,6956823603,19,Thailand,60
2005,65416189,0.77,492709,74749,32.8,1.6,128,3.74,24476532,1.0,6541907027,19,Thailand,55
2000,62952642,1.15,697074,143166,30.2,1.77,123,3.14,19759915,1.02,6143493823,19,Thailand,50
1995,59467274,1.01,581818,-121508,26.6,1.99,116,3.03,18012031,1.04,5744212979,17,Thailand,45
1990,56558186,1.68,906257,100881,24.3,2.3,111,2.94,16648721,1.06,5327231061,18,Thailand,40
1985,52026901,1.89,930486,67985,21.8,2.95,102,2.81,14621264,1.07,4870921740,18,Thailand,35
1980,47374472,2.28,1009632,57445,19.7,3.92,93,2.68,12695065,1.06,4458003514,18,Thailand,30
1975,42326312,2.79,1088355,79114,18.5,5.05,83,2.38,10058137,1.04,4079480606,18,Thailand,25
1970,36884536,3.0,1012375,0,18.0,5.99,72,2.09,7704931,1.0,3700437046,18,Thailand,20
1965,31822660,3.04,885091,0,18.3,6.13,62,2.02,6434876,0.95,3339583597,21,Thailand,15
1960,27397207,2.93,737215,0,18.8,6.14,54,1.97,5389651,0.9,3034949748,21,Thailand,10
1955,23711132,2.74,600154,0,18.9,6.14,46,1.8,4277639,0.86,2773019936,21,Thailand,5
2020,67886011,0.53,355839,260650,40.5,1.75,281,8.32,56495180,0.87,7794798739,21,United Kingdom,70
2019,67530172,0.58,388488,260650,40.1,1.84,279,8.29,56012276,0.88,7713468100,21,United Kingdom,69
2018,67141684,0.62,414223,260650,40.1,1.84,278,8.27,55521226,0.88,7631091040,21,United Kingdom,68
2017,66727461,0.65,429517,260650,40.1,1.84,276,8.25,55025421,0.88,7547858925,21,United Kingdom,67
2016,66297944,0.66,437798,260650,40.1,1.84,274,8.22,54529375,0.89,7464022049,21,United Kingdom,66
2015,65860146,0.75,480068,260046,40.0,1.87,272,8.2,54035311,0.89,7379797139,21,United Kingdom,65
2010,63459808,1.03,634371,437881,39.5,1.86,262,8.11,51469697,0.91,6956823603,21,United Kingdom,60
2005,60287954,0.46,272929,198445,38.7,1.66,249,7.99,48178255,0.92,6541907027,21,United Kingdom,55
2000,58923309,0.34,198171,102672,37.6,1.74,244,7.87,46365434,0.96,6143493823,21,United Kingdom,50
1995,57932453,0.28,159612,41089,36.5,1.78,239,7.84,45427516,1.01,5744212979,19,United Kingdom,45
1990,57134391,0.25,144168,19752,35.8,1.84,236,7.82,44683287,1.07,5327231061,15,United Kingdom,40
1985,56413553,0.07,40876,-19499,35.4,1.78,233,7.85,44263815,1.16,4870921740,15,United Kingdom,35
1980,56209171,0.02,11368,7824,34.4,1.73,232,7.86,44157482,1.26,4458003514,14,United Kingdom,30
1975,56152333,0.21,115776,21283,34.0,2.01,232,7.78,43667185,1.38,4079480606,13,United Kingdom,25
1970,55573453,0.49,266521,-16971,34.2,2.57,230,7.72,42903762,1.5,3700437046,12,United Kingdom,20
1965,54240850,0.7,374050,28614,35.1,2.81,224,7.79,42259485,1.62,3339583597,9,United Kingdom,15
1960,52370602,0.51,261340,13993,35.6,2.49,216,7.85,41130617,1.73,3034949748,9,United Kingdom,10
1955,51063902,0.18,89578,-83006,35.1,2.18,211,7.88,40241373,1.84,2773019936,9,United Kingdom,5
2020,65273511,0.22,143783,36527,42.3,1.85,119,8.15,53217966,0.84,7794798739,22,France,70
2019,65129728,0.21,139217,36527,41.5,1.95,119,8.11,52849078,0.84,7713468100,22,France,69
2018,64990511,0.23,148002,36527,41.5,1.95,119,8.07,52476365,0.85,7631091040,22,France,68
2017,64842509,0.27,174913,36527,41.5,1.95,118,8.03,52100536,0.86,7547858925,22,France,67
2016,64667596,0.33,214396,36527,41.5,1.95,118,8.0,51722652,0.87,7464022049,22,France,66
2015,64453200,0.5,314734,84766,41.2,1.98,118,7.97,51343241,0.87,7379797139,22,France,65
2010,62879530,0.57,351881,89224,40.1,1.98,115,7.86,49393298,0.9,6956823603,22,France,60
2005,61120127,0.7,421006,185297,38.9,1.88,112,7.73,47229925,0.93,6541907027,20,France,55
2000,59015096,0.42,242641,38726,37.7,1.76,108,7.66,45225597,0.96,6143493823,20,France,50
1995,57801892,0.4,227009,24434,36.2,1.71,106,7.55,43630318,1.01,5744212979,20,France,45
1990,56666849,0.51,282400,55277,34.8,1.8,103,7.44,42182927,1.06,5327231061,17,France,40
1985,55254848,0.51,277368,58314,33.6,1.86,101,7.38,40800487,1.13,4870921740,16,France,35
1980,53868009,0.44,235887,51686,32.4,1.86,98,7.36,39623972,1.21,4458003514,16,France,30
1975,52688576,0.75,384931,108614,31.6,2.31,96,7.34,38658424,1.29,4079480606,15,France,25
1970,50763920,0.81,403454,98323,32.4,2.65,93,7.12,36126954,1.37,3700437046,15,France,20
1965,48746652,1.31,614701,283574,32.7,2.85,89,6.74,32832934,1.46,3339583597,11,France,15
1960,45673146,1.02,452356,166081,33.0,2.7,83,6.21,28381288,1.5,3034949748,12,France,10
1955,43411367,0.74,315497,42897,32.9,2.76,79,5.83,25317338,1.57,2773019936,11,France,5
2020,60461826,-0.15,-88249,148943,47.3,1.33,206,6.95,42006701,0.78,7794798739,23,Italy,70
2019,60550075,-0.13,-77216,148943,45.7,1.4,206,6.92,41887345,0.78,7713468100,23,Italy,69
2018,60627291,-0.08,-46410,148943,45.7,1.4,206,6.89,41763099,0.79,7631091040,23,Italy,68
2017,60673701,0.02,10641,148943,45.7,1.4,206,6.86,41637312,0.8,7547858925,23,Italy,67
2016,60663060,0.14,84566,148943,45.7,1.4,206,6.84,41515002,0.81,7464022049,23,Italy,66
2015,60578494,0.42,250653,327474,45.4,1.42,206,6.83,41393818,0.82,7379797139,23,Italy,65
2010,59325229,0.36,208803,210190,43.5,1.44,202,6.88,40811310,0.85,6956823603,23,Italy,60
2005,58281212,0.55,317807,332869,41.9,1.31,198,6.84,39835813,0.89,6541907027,22,Italy,55
2000,56692178,-0.17,-96446,-59647,40.3,1.22,193,6.79,38513990,0.92,6143493823,22,Italy,50
1995,57174408,0.04,25234,30565,38.7,1.27,194,6.7,38316513,1.0,5744212979,21,Italy,45
1990,57048236,0.04,22292,-2012,37.0,1.35,194,6.68,38118729,1.07,5327231061,16,Italy,40
1985,56936774,0.21,117485,52960,35.5,1.52,194,6.69,38099260,1.17,4870921740,14,Italy,35
1980,56349349,0.39,216813,32985,34.1,1.89,192,6.67,37597841,1.26,4458003514,13,Italy,30
1975,55265284,0.64,349263,3879,33.3,2.32,188,6.57,36320918,1.35,4079480606,14,Italy,25
1970,53518969,0.7,368342,-46356,32.8,2.5,182,6.43,34436288,1.45,3700437046,13,Italy,20
1965,51677257,0.78,395461,-46105,32.1,2.5,176,6.19,31990341,1.55,3339583597,10,Italy,15
1960,49699951,0.56,272875,-110909,31.4,2.29,169,5.94,29527606,1.64,3034949748,10,Italy,10
1955,48335578,0.73,347395,-47233,30.2,2.36,164,5.69,27502303,1.74,2773019936,10,Italy,5
2020,59734218,2.98,1728755,-40076,18.0,4.92,67,3.7,22113353,0.77,7794798739,24,Tanzania,70
2019,58005463,3.0,1692025,-40076,17.6,5.17,65,3.62,21015391,0.75,7713468100,25,Tanzania,69
2018,56313438,3.02,1653099,-40076,17.6,5.17,64,3.54,19958545,0.74,7631091040,25,Tanzania,68
2017,54660339,3.04,1611109,-40076,17.6,5.17,62,3.47,18942828,0.72,7547858925,25,Tanzania,67
2016,53049230,3.04,1566597,-40076,17.6,5.17,60,3.39,17968436,0.71,7464022049,25,Tanzania,66
2015,51482633,3.03,1427222,-50087,17.6,5.24,58,3.31,17035213,0.7,7379797139,26,Tanzania,65
2010,44346525,2.89,1179241,-100171,17.4,5.58,50,2.92,12959969,0.64,6956823603,30,Tanzania,60
2005,38450320,2.8,990228,-60105,17.4,5.66,43,2.55,9791527,0.59,6541907027,31,Tanzania,55
2000,33499180,2.47,770009,-80141,17.4,5.75,38,2.28,7624725,0.55,6143493823,32,Tanzania,50
1995,29649135,3.3,889058,116819,17.2,6.05,33,2.08,6154968,0.52,5744212979,32,Tanzania,45
1990,25203845,3.1,714010,13623,17.0,6.36,28,1.91,4807840,0.47,5327231061,34,Tanzania,40
1985,21633796,3.14,619107,7012,16.9,6.55,24,1.69,3661481,0.44,4870921740,36,Tanzania,35
1980,18538259,3.14,530606,-5008,16.8,6.73,21,1.47,2719241,0.42,4458003514,36,Tanzania,30
1975,15885229,3.25,469950,24040,16.8,6.75,18,1.12,1781210,0.39,4079480606,38,Tanzania,25
1970,13535481,3.07,380130,7212,17.0,6.79,15,0.79,1068352,0.37,3700437046,38,Tanzania,20
1965,11634832,2.97,316536,5008,17.1,6.8,13,0.61,704473,0.35,3339583597,46,Tanzania,15
1960,10052152,2.86,264498,2003,17.1,6.8,11,0.53,528498,0.33,3034949748,42,Tanzania,10
1955,8729662,2.68,215980,2003,17.1,6.74,10,0.44,385389,0.31,2773019936,46,Tanzania,5
2020,59308690,1.28,750420,145405,27.6,2.41,49,6.67,39550889,0.76,7794798739,25,South Africa,70
2019,58558270,1.33,765752,145405,26.6,2.52,48,6.63,38820239,0.76,7713468100,24,South Africa,69
2018,57792518,1.37,782762,145405,26.6,2.52,48,6.59,38086769,0.76,7631091040,24,South Africa,68
2017,57009756,1.43,802110,145405,26.6,2.52,47,6.55,37348154,0.76,7547858925,24,South Africa,67
2016,56207646,1.48,821279,145405,26.6,2.52,46,6.51,36600982,0.75,7464022049,24,South Africa,66
2015,55386367,1.58,833881,183939,26.4,2.55,46,6.47,35844349,0.75,7379797139,24,South Africa,65
2010,51216964,1.36,667273,172444,25.0,2.63,42,6.27,32094811,0.74,6956823603,24,South Africa,60
2005,47880601,1.26,582579,157796,23.8,2.61,39,6.07,29065720,0.73,6541907027,26,South Africa,55
2000,44967708,1.65,706390,127980,22.6,2.88,37,5.79,26015136,0.73,6143493823,27,South Africa,50
1995,41435758,2.4,927050,170572,21.3,3.51,34,5.53,22932019,0.72,5744212979,27,South Africa,45
1990,36800509,2.4,824327,-23600,19.8,4.4,30,5.31,19545369,0.69,5327231061,28,South Africa,40
1985,32678874,2.73,824421,36200,19.5,4.9,27,5.1,16653360,0.67,4870921740,28,South Africa,35
1980,28556769,2.54,672316,14663,19.4,5.05,24,5.05,14411610,0.64,4458003514,28,South Africa,30
1975,25195187,2.68,625082,44532,19.3,5.5,21,5.01,12610547,0.62,4079480606,29,South Africa,25
1970,22069776,2.63,536987,39872,19.1,5.8,18,4.95,10919359,0.6,3700437046,29,South Africa,20
1965,19384841,2.54,457000,21310,19.4,6.0,16,4.86,9422320,0.58,3339583597,31,South Africa,15
1960,17099840,2.37,378668,2984,19.9,6.05,14,4.76,8138204,0.56,3034949748,31,South Africa,10
1955,15206502,2.22,315615,1492,20.6,6.05,13,4.49,6829341,0.55,2773019936,31,South Africa,5
